example_id,customer_message,intent,intent_confidence,intent_source,escalation,escalation_confidence,escalation_source,similarity,decision,reason,response
28,Any reason why flight 0698 changed from a 7 pm to 9:15 pm departure!?,flight_delay,0.3391744579096725,ml,auto,0.588297242810075,ml,1.0,human_review,Intent confidence is below the safety threshold.,I'm sorry you're experiencing this issue. I'm escalating your request to a human support agent who can investigate it and assist you further.
29,"Hey, @JetBlue: What are the October inflight movies? #BeenCheckingEveryDay #TooExcited",inflight_services,0.2002559897317217,ml,auto,0.6157431835500907,ml,1.0,human_review,Intent confidence is below the safety threshold.,I'm sorry you're experiencing this issue. I'm escalating your request to a human support agent who can investigate it and assist you further.
30,i love @JetBlue even though my last three flights have been delayed over an hour each :))),flight_delay,1.0,rule,human,0.5504943664550098,ml,1.0,human_review,Conversation requires human assistance.,I'm sorry you're experiencing this issue. I'm escalating your request to a human support agent who can investigate it and assist you further.
31,Yo @JetBlue don't have me pay for even more speed and the scanners in punta Cana don't work and now the computers are down too. -Thanks,boarding_airport,0.45100003406560124,ml,human,0.5956127892530337,ml,1.0,human_review,Conversation requires human assistance.,I'm sorry you're experiencing this issue. I'm escalating your request to a human support agent who can investigate it and assist you further.
32,Sometimes it seems like I fly for a living. How did it take me this long to find @JetBlue? Legroom in coach is ridiculous/awesome. #notanad,other,0.3843705203830875,ml,auto,0.6039294937234463,ml,1.0,human_review,Intent confidence is below the safety threshold.,I'm sorry you're experiencing this issue. I'm escalating your request to a human support agent who can investigate it and assist you further.
33,"--- can't get past this screen, I go back and try to update, but there is no update that's available https://t.co/jRU6MAI5wU",account_app,0.699630691444473,ml,auto,0.6049916189933905,ml,1.0,auto,Intent and escalation predictions are confident enough and a similar historical response exists.,Please check the airline app or website for account-related assistance. Account-specific issues may require human support.
34,@124202 scheduled to depart on time?! https://t.co/Xn8NOA7yTE,flight_status,0.54179536920862,ml,auto,0.6078213391819659,ml,1.0,auto,Intent and escalation predictions are confident enough and a similar historical response exists.,You can check your current flight status using your booking details or the airline's flight-status service.
35,in @123223 now waiting for flight 202. They announced all your systems are down. Do you have estimate on when they'll be back up?,boarding_airport,0.474684317873247,ml,human,0.6060470104067405,ml,1.0,human_review,Conversation requires human assistance.,I'm sorry you're experiencing this issue. I'm escalating your request to a human support agent who can investigate it and assist you further.
36,"hey guys how can I file a complaint on one of your boarding agents in LGA? Totally bringing your brand name down, which is a shame!",boarding_airport,1.0,rule,human,0.5886197232361035,ml,1.0,human_review,Conversation requires human assistance.,I'm sorry you're experiencing this issue. I'm escalating your request to a human support agent who can investigate it and assist you further.
37,"Best flying experience I've had in a really long time, @JetBlue at @122122. Thanks. https://t.co/krG6eDRuSA",other,0.4183932278459239,ml,auto,0.6054966142064764,ml,1.0,auto,General feedback can be handled automatically.,Thanks for contacting support. A support agent can assist with your request.
38,what time do you staff the desk at mccarran?,other,0.13424121921924154,ml,auto,0.5982018260005697,ml,0.19964097362535083,human_review,Intent confidence is below the safety threshold.,I'm sorry you're experiencing this issue. I'm escalating your request to a human support agent who can investigate it and assist you further.
39,please come to love field (Dallas),other,0.32932834705010305,ml,human,0.5117254233529425,ml,1.0,human_review,Intent confidence is below the safety threshold.,I'm sorry you're experiencing this issue. I'm escalating your request to a human support agent who can investigate it and assist you further.
40,just want to make sure we get vouchers for no tv service on our flight from Pbi to Lga today. Tyvm,inflight_services,1.0,rule,human,0.6385910558882509,ml,1.0000000000000007,human_review,Conversation requires human assistance.,I'm sorry you're experiencing this issue. I'm escalating your request to a human support agent who can investigate it and assist you further.
41,Love you @JetBlue but when if I am booking a last-minute flight you should inform me *before purchase* that the flight is delayed/cancelled.,flight_delay,1.0,rule,human,0.6176110715981098,ml,1.0,human_review,Conversation requires human assistance.,I'm sorry you're experiencing this issue. I'm escalating your request to a human support agent who can investigate it and assist you further.
42,"Why you star bording at the end of the plane, like 55 minutes waitting... @JetBlue https://t.co/tDO3uMfR7a",boarding_airport,0.4455538374346319,ml,human,0.5908224495448722,ml,1.0,human_review,Conversation requires human assistance.,I'm sorry you're experiencing this issue. I'm escalating your request to a human support agent who can investigate it and assist you further.
43,why is my flight delayed? Flight 188 SFO to LAS,flight_delay,1.0,rule,human,0.6241795241394137,ml,1.0,human_review,Conversation requires human assistance.,I'm sorry you're experiencing this issue. I'm escalating your request to a human support agent who can investigate it and assist you further.
44,Landon at just ask @ LAX was wonderful &amp; helpful! (Even tho weâ€™re delayed 6 hours and sleeping on the floor of the airport tonight),flight_delay,1.0,rule,human,0.6239954471414967,ml,1.0,human_review,Conversation requires human assistance.,I'm sorry you're experiencing this issue. I'm escalating your request to a human support agent who can investigate it and assist you further.
45,hey how can I access my boarding pass?,boarding_airport,1.0,rule,auto,0.6093828004319999,ml,1.0,auto,Intent and escalation predictions are confident enough and a similar historical response exists.,Please check your flight information for the recommended airport arrival and boarding time.
46,"An hour after landing, still no bags. @jetblue I'm tired and want to go home. @ JetBlue https://t.co/GefYnB0vC8",baggage,1.0,rule,human,0.5120628104881617,ml,1.0,human_review,Conversation requires human assistance.,I'm sorry you're experiencing this issue. I'm escalating your request to a human support agent who can investigate it and assist you further.
47,Beautiful day for a flight on @JetBlue over the #GreatLakes of Michigan https://t.co/CiCpENjDKi,other,0.3713065791402546,ml,human,0.5089839390142269,ml,0.9999999999999998,human_review,Intent confidence is below the safety threshold.,I'm sorry you're experiencing this issue. I'm escalating your request to a human support agent who can investigate it and assist you further.
48,"Hey @JetBlue! Avery and Eddy at the Customer Service desk, are amazing and they need major raises! They made my travel experience AWESOME. Thank you for hiring wonderful people. ðŸ˜",other,1.0,rule,auto,0.6134335677476626,ml,1.0,auto,General feedback can be handled automatically.,Thanks for contacting support. A support agent can assist with your request.
49,"When you used your apology credit given for a delayed flight, and now that flight is delayed. SMH Not cool @JetBlue",flight_delay,1.0,rule,human,0.6379580170193123,ml,1.0,human_review,Conversation requires human assistance.,I'm sorry you're experiencing this issue. I'm escalating your request to a human support agent who can investigate it and assist you further.
50,can you explain bags check in lol,baggage,1.0,rule,auto,0.5929875870952401,ml,1.0,auto,Intent and escalation predictions are confident enough and a similar historical response exists.,Baggage allowances and fees depend on your flight and fare. Please check your booking details for the applicable baggage policy.
51,pretty awful service today on flight 2323 today. Boarded by rows back to front and so those of us with (1/3) https://t.co/ejARcnogWI,boarding_airport,0.4527366576875978,ml,human,0.5904493588066182,ml,1.0,human_review,Conversation requires human assistance.,I'm sorry you're experiencing this issue. I'm escalating your request to a human support agent who can investigate it and assist you further.
52,Any Information about flight 1914??? From CancÃºn to orlando,flight_status,0.5731294093994139,ml,auto,0.5948989979751207,ml,1.0,auto,Intent and escalation predictions are confident enough and a similar historical response exists.,You can check your current flight status using your booking details or the airline's flight-status service.
53,I found an affordable flight using the app! ðŸ’™ðŸ›«ðŸ¦ƒ #HereWeGo https://t.co/tSgtmL3a7U,booking,0.3979117990240819,ml,auto,0.6259282984457641,ml,1.0,human_review,Intent confidence is below the safety threshold.,I'm sorry you're experiencing this issue. I'm escalating your request to a human support agent who can investigate it and assist you further.
54,"Hey @JetBlue not only have you delayed my flight twice, causing me to miss work tonight, you now switched my flight to a different airport!",flight_delay,1.0,rule,human,0.6394503368809707,ml,1.0000000000000004,human_review,Conversation requires human assistance.,I'm sorry you're experiencing this issue. I'm escalating your request to a human support agent who can investigate it and assist you further.
55,the way I was treated on my flight last night was atrocious,other,0.3171206646774268,ml,human,0.593023926471389,ml,1.0000000000000002,human_review,Intent confidence is below the safety threshold.,I'm sorry you're experiencing this issue. I'm escalating your request to a human support agent who can investigate it and assist you further.
56,Landing soon in #FortLauderdale on the way to the #FloridaKeys for #Thanksgiving thank you to @JetBlue for getting us here safely and ahead of schedule!,other,1.0,rule,auto,0.6302722178517295,ml,1.0,auto,General feedback can be handled automatically.,Thanks for contacting support. A support agent can assist with your request.
57,Hey @JetBlue do u think flights 218 and 1903 will be delayed or cancelled tomorrow?,flight_delay,1.0,rule,human,0.5273419866550653,ml,0.22256081753658616,human_review,Conversation requires human assistance.,I'm sorry you're experiencing this issue. I'm escalating your request to a human support agent who can investigate it and assist you further.
58,Thanks @JetBlue flight 393!  Shout out to Cleo for the fabulous new lipstick!  Thank you for such a hospitable flight!  Hope to see u again! https://t.co/4Rfwpzcy7e,other,1.0,rule,auto,0.6116438621482043,ml,0.9999999999999996,auto,General feedback can be handled automatically.,Thanks for contacting support. A support agent can assist with your request.
59,Just got confirmation that my mission group is flying @JetBlue so happy. It will be a great trip overall but made better now that we are flying #jetblue,booking,0.37071188462809546,ml,auto,0.5733061367025,ml,1.0,human_review,Intent confidence is below the safety threshold.,I'm sorry you're experiencing this issue. I'm escalating your request to a human support agent who can investigate it and assist you further.
60,My flight was delayed an hour a month in advance. Any chance I can get on an earlier flight. I donâ€™t want to get in after 12AM,flight_delay,1.0,rule,human,0.6548550683004426,ml,1.0,human_review,Conversation requires human assistance.,I'm sorry you're experiencing this issue. I'm escalating your request to a human support agent who can investigate it and assist you further.
61,Every. Single. @JetBlue. Flight. From. DCA. Is. Always. Delayed. #ðŸ˜¡,flight_delay,1.0,rule,auto,0.5559085494608549,ml,1.0000000000000002,auto,Intent and escalation predictions are confident enough and a similar historical response exists.,I'm sorry for the delay. Please check the latest flight status for the most up-to-date information.
62,"tickets purchased, hotels reserved, dinner reservations made.â€¦ https://t.co/8Pq0GTXu8G",booking,0.45966762985888016,ml,auto,0.610441419413915,ml,0.9999999999999996,auto,Intent and escalation predictions are confident enough and a similar historical response exists.,I can help with general booking information. Please provide the relevant booking details if further assistance is needed.
63,jet blue is the goat. they have free wifi and hella leg room. im tall and small cramped ass planes are the worst.,inflight_services,1.0,rule,auto,0.6055633058843184,ml,1.0000000000000007,auto,Intent and escalation predictions are confident enough and a similar historical response exists.,In-flight services can vary by aircraft and route. Please check the available services for your flight.
64,on Flight to boston love JetBlue and all your staff are amazing! Happy Thanksgiving. Just wondering why parents change poop diapers in their seats then put dirty diaper in back of seat 352 seat 4 ABC,inflight_services,0.40277152732478627,ml,auto,0.5722180658103877,ml,0.9999999999999998,auto,Intent and escalation predictions are confident enough and a similar historical response exists.,In-flight services can vary by aircraft and route. Please check the available services for your flight.
65,HIGHLY upset with @JetBlue this is bananas! 3rd time on two different occasions that this has happened!,other,0.1769073647122925,ml,human,0.6128962347893554,ml,1.0,human_review,Intent confidence is below the safety threshold.,I'm sorry you're experiencing this issue. I'm escalating your request to a human support agent who can investigate it and assist you further.
66,Thank u @JetBlue for getting #mycubanking and all other police officers 2andfrom Puerto Rico ðŸ‡µðŸ‡· safely #JetBlueWinning https://t.co/ixQV0Vhcbh,other,0.48396773640434915,ml,auto,0.620349836128232,ml,1.0,auto,General feedback can be handled automatically.,Thanks for contacting support. A support agent can assist with your request.
67,.@JetBlue any plans to cancel Flight 2417 from MCO to AUS? Iâ€™m sure you know whatâ€™s going on but weâ€™re at a stand still here.,cancellation,1.0,rule,human,0.527488113876088,ml,0.2709553312826506,human_review,Conversation requires human assistance.,I'm sorry you're experiencing this issue. I'm escalating your request to a human support agent who can investigate it and assist you further.
68,Taking our first family vacation!  Off to CHS then MCO for @121584 https://t.co/MMHZ7qS1BE,other,0.3457326965166325,ml,auto,0.6295235590534582,ml,1.0,human_review,Intent confidence is below the safety threshold.,I'm sorry you're experiencing this issue. I'm escalating your request to a human support agent who can investigate it and assist you further.
69,So why does my @JetBlue flight to JFK get cancelled so an Orlando flight can have it?  Iâ€™m now delayed because of someone elseâ€™s flight!,flight_delay,1.0,rule,human,0.6231246424253896,ml,0.22623050553253182,human_review,Conversation requires human assistance.,I'm sorry you're experiencing this issue. I'm escalating your request to a human support agent who can investigate it and assist you further.
70,can u help me i just need to know if my dad got on this flight from pr this is his info https://t.co/LlsiXv1y2n,flight_status,0.5302722547456091,ml,human,0.6366854538173109,ml,1.0,human_review,Conversation requires human assistance.,I'm sorry you're experiencing this issue. I'm escalating your request to a human support agent who can investigate it and assist you further.
71,"Hey @jetblue, why does FlyFi block VPN access?  That's mighty inconvenient.  Would be willing to pay for it.",inflight_services,0.3955937473798604,ml,auto,0.607422579557264,ml,0.9999999999999998,human_review,Intent confidence is below the safety threshold.,I'm sorry you're experiencing this issue. I'm escalating your request to a human support agent who can investigate it and assist you further.
72,"Hey @JetBlue, I just booked a one way flight 48 hours ago on points. The flight is now 2200 points cheaper. Does the 14 day fare price guarantee apply to points travel?",loyalty_rewards,0.13877058740306605,ml,human,0.6030321319842257,ml,1.0,human_review,Intent confidence is below the safety threshold.,I'm sorry you're experiencing this issue. I'm escalating your request to a human support agent who can investigate it and assist you further.
73,@JetBlue it's a beautiful day for long ground delays @122122.  What's today's lame excuse?,flight_delay,1.0,rule,auto,0.5146830579087144,ml,1.0,auto,Intent and escalation predictions are confident enough and a similar historical response exists.,I'm sorry for the delay. Please check the latest flight status for the most up-to-date information.
74,Need to get 4 adults from San Juan #PuertoRico to #Miami or #NY... It's impossible! Help people! @JetBlue,booking,0.4040280266417481,ml,human,0.5789391622442548,ml,1.0,human_review,Conversation requires human assistance.,I'm sorry you're experiencing this issue. I'm escalating your request to a human support agent who can investigate it and assist you further.
75,jet blue my last flight my TV was out ! Yuk,inflight_services,1.0,rule,human,0.5421807771668471,ml,1.0,human_review,Conversation requires human assistance.,I'm sorry you're experiencing this issue. I'm escalating your request to a human support agent who can investigate it and assist you further.
76,I paid baggage fee for my flight on 10/15 from FLL to SAN but your system was down so I was unable to check my bag at the counter,baggage,1.0,rule,human,0.603568764574976,ml,1.0,human_review,Conversation requires human assistance.,I'm sorry you're experiencing this issue. I'm escalating your request to a human support agent who can investigate it and assist you further.
77,Thanks @JetBlue for not expiring  my miles like @43059  uno a Ole theif,loyalty_rewards,0.595003698256954,ml,auto,0.5912389716386292,ml,0.9999999999999998,auto,Intent and escalation predictions are confident enough and a similar historical response exists.,You can earn and use loyalty points according to the airline's loyalty program rules.
78,"I have the jetblue plus credit card but don't see the badge for it in my trueblue account, how do I get it?",loyalty_rewards,1.0,rule,auto,0.5630592556601681,ml,1.0,auto,Intent and escalation predictions are confident enough and a similar historical response exists.,You can earn and use loyalty points according to the airline's loyalty program rules.
79,Stuck on a @JetBlue flight. Hour delay. on plane for 45min. We haven't left the gate yet. Oh ya problem w air in cabin. Hot as hell!  Thx,flight_delay,1.0,rule,human,0.5878408648897243,ml,1.0,human_review,Conversation requires human assistance.,I'm sorry you're experiencing this issue. I'm escalating your request to a human support agent who can investigate it and assist you further.
80,I am flying with my mother who is handicapped from lasvegas to JFK and I just arrived at 5 in the morning and the airline lost her wheelchair . This plus my son's seat being broken was not a comfortable experience. I am very disappointed.,baggage,0.5320711756375833,ml,human,0.5935249084516543,ml,1.0,human_review,Conversation requires human assistance.,I'm sorry you're experiencing this issue. I'm escalating your request to a human support agent who can investigate it and assist you further.
81,Thanks for taking care of PR.  When will seats be released for July 2018?  Thanks.,booking,0.47184940164515,ml,auto,0.6265922232401071,ml,1.0,auto,Intent and escalation predictions are confident enough and a similar historical response exists.,I can help with general booking information. Please provide the relevant booking details if further assistance is needed.
82,Why isn't Howard Stern on your SiriusXM channel list?,inflight_services,0.43212000842025755,ml,auto,0.6072905621704073,ml,1.0,auto,Intent and escalation predictions are confident enough and a similar historical response exists.,In-flight services can vary by aircraft and route. Please check the available services for your flight.
83,our flight BUF to SEA  w @116450 at 3:35p just got bumped to tomorrow.  Can you help us get to Seattle today?,cancellation,0.6248915119799217,ml,human,0.6396463191224864,ml,1.0000000000000004,human_review,Conversation requires human assistance.,I'm sorry you're experiencing this issue. I'm escalating your request to a human support agent who can investigate it and assist you further.
84,Well it's starting to look like the reason I can't find my webcam is because it and my nice camera was stolen from my checked bag.  So much for @JetBlue and @157133 :(,baggage,1.0,rule,human,0.6024081474896572,ml,1.0,human_review,Conversation requires human assistance.,I'm sorry you're experiencing this issue. I'm escalating your request to a human support agent who can investigate it and assist you further.
85,It had been a while since I flew JetBlue. I flew with them (JFK - SFO) yesterday. SO MUCH better than the other big airlines! Thank you @JetBlue.,other,1.0,rule,auto,0.6158253507718996,ml,0.9999999999999996,auto,General feedback can be handled automatically.,Thanks for contacting support. A support agent can assist with your request.
86,great flight as a 1st time passenger other than a 6 hour layover that I could not change. GoodJob flight number 1836 717 DTW TO JFK,other,1.0,rule,auto,1.0,rule,0.1862007086519649,auto,General feedback can be handled automatically.,Thanks for contacting support. A support agent can assist with your request.
87,charged for room even though I booked through @JetBlue vacation package!!! Hilton wonâ€™t refund! So paid for room twice!,refund,1.0,rule,human,0.5181823121198302,ml,1.0,human_review,Conversation requires human assistance.,I'm sorry you're experiencing this issue. I'm escalating your request to a human support agent who can investigate it and assist you further.
88,"Meet Captain Javier, the captain of our @2300 Blue plane in Nassau.  As Lisa and I arrived, heâ€¦ https://t.co/6wP6BvUEDs",other,0.3471384234629312,ml,auto,0.5929631190723008,ml,1.0,human_review,Intent confidence is below the safety threshold.,I'm sorry you're experiencing this issue. I'm escalating your request to a human support agent who can investigate it and assist you further.
89,Hey @JetBlue  have a problem I was hoping you could help solve or direct me to who could help.,other,0.3080872437082309,ml,human,0.6220213467223378,ml,1.0,human_review,Intent confidence is below the safety threshold.,I'm sorry you're experiencing this issue. I'm escalating your request to a human support agent who can investigate it and assist you further.
90,Dear @JetBlue - do you have special FAA permission that allows passengers to form a line at forward bathroom?,boarding_airport,0.5118058987324894,ml,auto,0.6024254343608282,ml,1.0,auto,Intent and escalation predictions are confident enough and a similar historical response exists.,Please check your flight information for the recommended airport arrival and boarding time.
91,ur plane is taped together https://t.co/6izuOTkYWx,other,0.3721005563009507,ml,auto,0.6155800979026254,ml,1.0,human_review,Intent confidence is below the safety threshold.,I'm sorry you're experiencing this issue. I'm escalating your request to a human support agent who can investigate it and assist you further.
92,good morning question for you when I booked my familyâ€™s flights I put my wifeâ€™s wrong middle Initial is there way to change it.  Thank you,other,1.0,rule,human,0.5630375493930195,ml,0.15244121327595903,human_review,Conversation requires human assistance.,I'm sorry you're experiencing this issue. I'm escalating your request to a human support agent who can investigate it and assist you further.
93,. Is there not another gate to go to?  Why would you have a plane at the gate when you knew we were coming in?,boarding_airport,0.4758677395725011,ml,human,0.5684756156451607,ml,1.0,human_review,Conversation requires human assistance.,I'm sorry you're experiencing this issue. I'm escalating your request to a human support agent who can investigate it and assist you further.
94,"Tried to book a flight but the website kept giving an error after certain pages. After several attempts, my travel bank is at $0 and I have an unticketed reservation, but no charges on credit card. Helllppp",travel_credit,1.0,rule,human,0.6239101027660813,ml,0.269162127779875,human_review,Conversation requires human assistance.,I'm sorry you're experiencing this issue. I'm escalating your request to a human support agent who can investigate it and assist you further.
95,So I tried to check in my bag online a couple of days ago and it told me invalid card but now that I am home I now see i was,account_app,1.0,rule,human,0.6244182474468819,ml,0.22604316161499216,human_review,Conversation requires human assistance.,I'm sorry you're experiencing this issue. I'm escalating your request to a human support agent who can investigate it and assist you further.
96,So happy to have 2 feet on the ground!   Thanks for a safe landing @JetBlue.   It is windy here!  Awesome as always!,other,0.409790751496549,ml,auto,0.636064395406784,ml,1.0,auto,General feedback can be handled automatically.,Thanks for contacting support. A support agent can assist with your request.
97,"Just trying to go to Boston this weekend for #PRSSANC, but why does @JetBlue have to make it so hard! https://t.co/4GMEno2O1f",booking,0.4186251590153601,ml,human,0.5997810612090692,ml,1.0000000000000007,human_review,Conversation requires human assistance.,I'm sorry you're experiencing this issue. I'm escalating your request to a human support agent who can investigate it and assist you further.
98,"Hi, @jetblue! Whatâ€™s the turnaround time for receiving a cancellation refund via paypal? Itâ€™s already showing as a pending authorizationâ€¦",refund,1.0,rule,auto,0.6148727334068977,ml,1.0,auto,Intent and escalation predictions are confident enough and a similar historical response exists.,Refund eligibility depends on the booking and fare conditions. Please check your booking details for the applicable refund options.
99,hi I have a reservation need change date would you help me out?,booking,0.491738484773132,ml,human,0.5218612790176036,ml,1.0000000000000002,human_review,Conversation requires human assistance.,I'm sorry you're experiencing this issue. I'm escalating your request to a human support agent who can investigate it and assist you further.
