example_id,conversation_id,customer_message,support_reply,intent,escalation,escalation_reason_,predicted_intent,intent_source,predicted_escalation,escalation_source
14,5fb002a184c470f1798f494fe6a54784,"In a world full of ðŸš® airlines, @JetBlue...you are â¤ï¸â¤ï¸â¤ï¸ #CustomerService https://t.co/h7LoVupbaD","Aww...thanks, Smiley! Need ideas of where to go with all that credit?? Here you go: https://t.co/SENJEOXDD4. :)",other,auto,Positive customer feedback,other,ml,auto,ml
15,0b70666bf5a1bd7e85a04832cd675d8b,"think I should cancel my card. Terrible auto menu, long hold, bad resolution. I can open 2nd CC but u can't override auto upgrade?",Please send us your conf code and details of your request here:  https://t.co/xSmyP7Lfyg,other,human,Credit-card/customer-service issue requires investigation,booking,ml,human,ml
16,29e627edc104b2cb116e5c257fd6202d,"who do I complain to regarding this new ""take every camera out of ur bag"" rule at the airport? What about if it's my job 2 have 5 cameras?",TSA oversees security. Here is a link with info on how to reach them: https://t.co/qujcSXQGnT,boarding_airport,human,Airport security complaint requires human attention,baggage,rule,human,ml
17,b2423ea6a61c5e5909579f1d47afea49,"Dear @JetBlue Iï¸ understand delayed flights, but what are going to do about my current #hangry situation now that Iï¸ missed Thanksgiving dinner ðŸ˜’",So sorry to hear that. What flight are you currently on?,flight_delay,human,Delay caused missed plans and requires assistance,flight_delay,rule,human,ml
18,7401f072dcde481aad35587e0ccd767b,"Why does my seat assignment show ""You may not pre-reserve a seat at this time. Please obtain your seat assignment at the airport upon check-in.""?  I have two legs on this PNR, return leg allows me to select a seat just fine.",Please use the link to DM your confirmation code and we'll take a look at your reservation.  https://t.co/xSmyP7Lfyg,booking,human,Reservation-specific seat assignment problem,boarding_airport,rule,human,ml
19,4d3803e4bcd76d4f8f0f246cf3f764c7,I think I screw up in one of my bookings ðŸ™. Can you help me??,Uh oh! Please DM the details.  https://t.co/xSmyP7Lfyg,booking,human,Customer reports a problem with a booking,booking,ml,human,ml
20,7c9dd50409275724a8c6c6ed862135df,Looking for more info on your inflight wifi specs. Any help??,Hi. You can find more info about our Fly-FiÂ® here https://t.co/NGOAlT8K0f,inflight_services,auto,General inflight Wi-Fi information request,inflight_services,rule,auto,ml
21,9e571d88413ab5c224dfc1ac9f20554b,when will the next booking window be extended for summer flights?,We don't have this info just yet. Stay tuned!,booking,auto,General question about future booking availability,booking,ml,auto,ml
22,099ee5fb10220f0b3ea12fe877989f16,"on flight 623 from JFK to LAX, no tv, no map channel ( nervous flyer;) &amp; spotty internet. Love you but! What can you do for us?",...see an email within 7 days. 2/2,inflight_services,human,Multiple inflight service failures require assistance,inflight_services,rule,human,ml
23,53a44d9fcf8a6d9b8bd5e083714cee06,"Hey @JetBlue, I'm about 30 minutes from boarding your DCA to Orlando flight. Can I get an upgrade to a more room seat? Before you ask, i have no justification for this, but you can't get a yes without asking, right?","True. We can't make any changes to seating this close to departure, Abe. You can speak to the crew though.",booking,human,Last-minute seat upgrade request requires assistance,boarding_airport,rule,human,ml
24,a5a210986b0bb36bcdc7a96f04de0071,REALLLY LOVED @JetBlue until today. Iï¸ could have drove to Vegas for as long as my flight has been delayed,We know flight delays are frustrating. What flight are you waiting on?,flight_delay,human,Significant flight delay complaint requires assistance,flight_delay,rule,human,ml
25,f6bee77793392284c038e492205a6a6e,excited to watch the dolphins game on my flight home but of course the TVs cant connect to the satellites #thanksfornothing,Sorry to hear this! Here's hoping the connecting comes through soon.,inflight_services,human,Inflight entertainment failure during flight,inflight_services,rule,human,ml
26,4a11b28d50aac97cec5973a5ddb0b26a,is it possible to status match from UA plat?,"We don't currently have a status match promotion going on, but you can learn all about earning Mosaic status here: https://t.co/NIuQvIEuDz.",loyalty_rewards,auto,General question about status matching,loyalty_rewards,ml,auto,ml
27,5b9c4f2730352992c0ee85ae2b3b55bb,"Shoutout to Lance @JetBlue #gateA5 #flt598 #SEAtoBOS for keeping us informed during the delay, and a little entertained #muchappreciated",We'll be sure to pass along your kind words!,flight_delay,auto,Positive feedback about handling a flight delay,flight_delay,rule,auto,ml
28,8f830ef0df9ccaea3d72db72e7c9ce36,Any reason why flight 0698 changed from a 7 pm to 9:15 pm departure!?,Hi Nia. There's a delay rolling over from an earlier flight. The aircraft is now en route.,flight_delay,auto,Asking why a flight departure was delayed,flight_delay,ml,auto,ml
29,30ff9b4c7ea5004263b484804caffdea,"Hey, @JetBlue: What are the October inflight movies? #BeenCheckingEveryDay #TooExcited","...Southbound and Eastbound flights will show Spider-Man: Homecoming, Despicable Me 3 and The Big Sick. 2/2",inflight_services,auto,General question about inflight movies,inflight_services,ml,auto,ml
30,3173d62db2ed653b48d7fd4793d3be72,i love @JetBlue even though my last three flights have been delayed over an hour each :))),"Drat! Sorry to hear about the delays, Madi. We appreciate you hanging in there with us.",flight_delay,auto,General complaint about repeated flight delays,flight_delay,rule,human,ml
31,575a681022ece0a31c751393ecf60713,Yo @JetBlue don't have me pay for even more speed and the scanners in punta Cana don't work and now the computers are down too. -Thanks,Please DM your confirmation code and we'll take a closer look!  https://t.co/xSmyP7Lfyg,boarding_airport,human,Airport systems and scanner problems require investigation,boarding_airport,ml,human,ml
32,21c01a13d405e220a56311e0224db9d7,Sometimes it seems like I fly for a living. How did it take me this long to find @JetBlue? Legroom in coach is ridiculous/awesome. #notanad,https://t.co/TFv559OvtI,other,auto,Positive feedback about legroom and flying experience,other,ml,auto,ml
33,49274686ce78a5064d74721736331ad3,"--- can't get past this screen, I go back and try to update, but there is no update that's available https://t.co/jRU6MAI5wU","Try deleting the app, and then try reinstalling. Hope this helps!",account_app,auto,General app update/troubleshooting issue,account_app,ml,auto,ml
34,861e9e9a80c4eca5c0b4311a5e7153bc,@124202 scheduled to depart on time?! https://t.co/Xn8NOA7yTE,@124202 ...options?  2/2 https://t.co/xSmyP7Lfyg,flight_status,auto,Asking whether a flight is scheduled to depart on time,flight_status,ml,auto,ml
35,6578dcffd8ece7c4d491ca8dcd40e643,in @123223 now waiting for flight 202. They announced all your systems are down. Do you have estimate on when they'll be back up?,@123223 We're sorry to hear about the wait! Your airport crewmembers will have the most current information.,boarding_airport,human,Airport systems outage requires current operational information,boarding_airport,ml,human,ml
36,fe8d2acf3e18a0776625c04c86c6b4a5,"hey guys how can I file a complaint on one of your boarding agents in LGA? Totally bringing your brand name down, which is a shame!",We're sorry to hear that. You can send us a DM via Twitter or email us using this link https://t.co/APZVTivmzr. https://t.co/xSmyP7Lfyg,boarding_airport,human,Complaint about boarding agent requires human attention,boarding_airport,rule,human,ml
37,cde72b744fdbc16c7a93abbd497f9e6a,"Best flying experience I've had in a really long time, @JetBlue at @122122. Thanks. https://t.co/krG6eDRuSA","Great shot, Natalie! ðŸ˜",other,auto,Positive customer feedback,other,ml,auto,ml
38,2a5c107373f160a7bb1901a17601087a,what time do you staff the desk at mccarran?,The ticket counter hours are generally open from 6:40 a.m. - 12:00 a.m. Are you referring to the ticket counter or your gate?,boarding_airport,auto,General question about airport ticket-counter hours,other,ml,auto,ml
39,500e180f223ff0ee62f9d94d84fe2dcb,please come to love field (Dallas),Hi! Please leave us a note to make an official suggestion. https://t.co/aqsBsz60dq,other,auto,General suggestion about adding service to an airport,other,ml,human,ml
40,65c70c81266143d650592f7cfe93dfa1,just want to make sure we get vouchers for no tv service on our flight from Pbi to Lga today. Tyvm,Sorry to hear about the TVs. Are they out for everyone?,inflight_services,human,Customer is requesting compensation for unavailable TV service,inflight_services,rule,human,ml
41,579c742a788aa840210e5173bb3645bb,Love you @JetBlue but when if I am booking a last-minute flight you should inform me *before purchase* that the flight is delayed/cancelled.,Thanks for the feedback on this!,flight_delay,human,Customer wants assistance after being affected by a delayed or cancelled last-minute flight,flight_delay,rule,human,ml
42,8b6d0fcc5d22504f5a90016a7529d49e,"Why you star bording at the end of the plane, like 55 minutes waitting... @JetBlue https://t.co/tDO3uMfR7a","We're sorry about the wait, Paco! We'll board your group as soon as we can!",boarding_airport,human,Complaint about inefficient boarding process requires attention,boarding_airport,ml,human,ml
43,fef91cc962129d3457c641a5bd2e95cc,why is my flight delayed? Flight 188 SFO to LAS,"Hi Adam, your plane was held up at a prior stop due to weather issues. Sorry for the inconvenience!",flight_delay,auto,Simple question about why a specific flight is delayed,flight_delay,rule,human,ml
44,9a47cf3171a0183414eec8605e527b48,Landon at just ask @ LAX was wonderful &amp; helpful! (Even tho weâ€™re delayed 6 hours and sleeping on the floor of the airport tonight),"Definitely a rough delay, so we're glad Landon is doing what he can to make things better. We appreciate you taking time to compliment him!",flight_delay,human,Six-hour delay and overnight airport stay require assistance,flight_delay,rule,human,ml
45,62d5148a3b3b5f81a036be2dd3cc3919,hey how can I access my boarding pass?,"You can access your boarding pass through our website, mobile app, or when arriving at the airport for check-in.",boarding_airport,auto,General question about accessing a boarding pass,boarding_airport,rule,auto,ml
46,ad8d91a6d48a02e7c2f5bcfed29dcfce,"An hour after landing, still no bags. @jetblue I'm tired and want to go home. @ JetBlue https://t.co/GefYnB0vC8","That is a long time to wait, we're sorry to hear of this. If you don't see the bags soon, please speak with someone at the baggage office to see if they have information or if they can help you file a claim for your bag.",baggage,human,Bags have not arrived after landing and require investigation,baggage,rule,human,ml
47,9580fbeb19561186dec8633c4078129b,Beautiful day for a flight on @JetBlue over the #GreatLakes of Michigan https://t.co/CiCpENjDKi,Gorgeous! Thanks for sharing!,other,auto,Positive/general travel feedback,other,ml,human,ml
48,8bc14090bc41af96a2339165b3fbd7f8,"Hey @JetBlue! Avery and Eddy at the Customer Service desk, are amazing and they need major raises! They made my travel experience AWESOME. Thank you for hiring wonderful people. ðŸ˜","Thanks for the note! We'd love to share your message with them, please let us know what airport you're at.",other,auto,Positive customer feedback about staff,other,rule,auto,ml
49,998fb6a0549bdfd80dfdefe06b5a3cf0,"When you used your apology credit given for a delayed flight, and now that flight is delayed. SMH Not cool @JetBlue",That's really frustrating. Anything we can check on for you?,flight_delay,human,Repeated delay after using compensation credit requires assistance,flight_delay,rule,human,ml
50,628c6cfcb41df004218430a883547084,can you explain bags check in lol,Hi Fernando. Can you be more specific? Do you have a question about the check-in process? Where to go in a particular airport? Something else?,baggage,auto,General question about checking bags,baggage,rule,auto,ml
51,3304452ebfe07c548a2eb6346fed3ad4,pretty awful service today on flight 2323 today. Boarded by rows back to front and so those of us with (1/3) https://t.co/ejARcnogWI,...along internally for you. 3/3,boarding_airport,human,Complaint about boarding process and service,boarding_airport,ml,human,ml
52,2088d13f91edebaf7e3778f0014eafca,Any Information about flight 1914??? From CancÃºn to orlando,Looks like Flight 1914 is currently scheduled to depart at 4:20 pm.,flight_status,auto,General request for information about a specific flight,flight_status,ml,auto,ml
53,548b182cc9d94e58aa650a09c77c6509,I found an affordable flight using the app! ðŸ’™ðŸ›«ðŸ¦ƒ #HereWeGo https://t.co/tSgtmL3a7U,Woohoo! See you soon! :),booking,auto,Customer successfully found a flight using the app,booking,ml,auto,ml
54,2d5f9d2f7e5b114c697a597b5b829c41,"Hey @JetBlue not only have you delayed my flight twice, causing me to miss work tonight, you now switched my flight to a different airport!",...confirmation code: 2/2 https://t.co/xSmyP7Lfyg,flight_delay,human,Repeated delay and airport change require rebooking assistance,flight_delay,rule,human,ml
55,42db4b686af6768efa29861f8294d1a3,the way I was treated on my flight last night was atrocious,Thanks for reaching out. We'd like to know more. Please DM us your confirmation code and details  https://t.co/xSmyP7Lfyg,other,human,General service complaint requires human attention,other,ml,human,ml
56,a51a476bade3c4bca6bef9132fa64527,Landing soon in #FortLauderdale on the way to the #FloridaKeys for #Thanksgiving thank you to @JetBlue for getting us here safely and ahead of schedule!,Have a fabulous Thanksgiving! Thanks for flying with us tonight!,other,auto,Positive feedback about safe and early arrival,other,rule,auto,ml
57,60a1b2885080da78433afdd67bde9838,Hey @JetBlue do u think flights 218 and 1903 will be delayed or cancelled tomorrow?,At this time they're looking good! Hopefully you'll be good to go.,flight_status,auto,Asking whether future flights may be delayed or cancelled,flight_delay,rule,human,ml
58,e65b84a42a62db7080655899aca58b4d,Thanks @JetBlue flight 393!  Shout out to Cleo for the fabulous new lipstick!  Thank you for such a hospitable flight!  Hope to see u again! https://t.co/4Rfwpzcy7e,We love having you onboard! https://t.co/GOeTpL1mxD #Muah,other,auto,Positive feedback about inflight service and staff,other,rule,auto,ml
59,99d50de82022bbfce419ffd9eee54787,Just got confirmation that my mission group is flying @JetBlue so happy. It will be a great trip overall but made better now that we are flying #jetblue,xoxo https://t.co/9sIFhVUwKK,booking,auto,General positive feedback about upcoming travel booking,booking,ml,auto,ml
60,2a64f23b0a35fbe61b0fdc46db6c752f,My flight was delayed an hour a month in advance. Any chance I can get on an earlier flight. I donâ€™t want to get in after 12AM,Please send your conf code with this link so we can look at available options:  https://t.co/xSmyP7Lfyg,flight_delay,human,Customer requests an earlier flight because of a schedule-impacting delay,flight_delay,rule,human,ml
61,59a6e725c85905c851f483af47a52d61,Every. Single. @JetBlue. Flight. From. DCA. Is. Always. Delayed. #ðŸ˜¡,"We're sorry to hear about the inconvenience, Tom. Is there a specific flight number we can check on for you?",flight_delay,auto,General complaint about repeated flight delay,flight_delay,rule,auto,ml
62,30fb4ce2822dcabf158ee9fe128fae8d,"tickets purchased, hotels reserved, dinner reservations made.â€¦ https://t.co/8Pq0GTXu8G",Yes! https://t.co/0IZqONDMaD,booking,auto,Positive confirmation of completed travel arrangements,booking,ml,auto,ml
63,ae6dea8e279a5696188219aedccc6b86,jet blue is the goat. they have free wifi and hella leg room. im tall and small cramped ass planes are the worst.,S-t-r-e-t-c-h out and enjoy!,inflight_services,auto,Positive feedback about Wi-Fi and legroom,inflight_services,rule,auto,ml
64,57dd271b009afc8a552ad6dc18c214c5,on Flight to boston love JetBlue and all your staff are amazing! Happy Thanksgiving. Just wondering why parents change poop diapers in their seats then put dirty diaper in back of seat 352 seat 4 ABC,"Great having you with us! We discourage customers from changing children's diapers in their seats or on the tray tables for sanitary reasons. There are changing tables located in the lavatories. Please reach out to our crew, as they may be unaware that this is occurring.",inflight_services,auto,General question about onboard hygiene policy,inflight_services,ml,auto,ml
65,20345177f71e3f851b9efd2af1b9d0a1,HIGHLY upset with @JetBlue this is bananas! 3rd time on two different occasions that this has happened!,"We don't like to hear that, Sierra! What's going on?",other,human,Repeated unresolved complaint with insufficient details,other,ml,human,ml
66,ce5d4c26afee28ed1c89fd1e6a01293e,Thank u @JetBlue for getting #mycubanking and all other police officers 2andfrom Puerto Rico ðŸ‡µðŸ‡· safely #JetBlueWinning https://t.co/ixQV0Vhcbh,"Thank you, Carla! It was our pleasure.",other,auto,Positive customer feedback,other,ml,auto,ml
67,7d526a1ffd804464f95fedf66da115bc,.@JetBlue any plans to cancel Flight 2417 from MCO to AUS? Iâ€™m sure you know whatâ€™s going on but weâ€™re at a stand still here.,"Our latest updates show that we still expect flight 2417 to depart. Thanks for your patience, Justin!",flight_status,auto,Asking whether a specific flight will be cancelled,cancellation,rule,human,ml
68,13645f14cabb8c020ab88aaa7cc525ab,Taking our first family vacation!  Off to CHS then MCO for @121584 https://t.co/MMHZ7qS1BE,"@121584 Thank you for choosing JetBlue, we're excited for your family!",other,auto,Positive travel feedback,other,ml,auto,ml
69,5ef89a4a317855603bf1bb0495042d5b,So why does my @JetBlue flight to JFK get cancelled so an Orlando flight can have it?  Iâ€™m now delayed because of someone elseâ€™s flight!,What flight are you on? We'll be happy to look into the cancellation for you.,cancellation,human,Customer's flight was cancelled and requires investigation,flight_delay,rule,human,ml
70,999a91685ee49f6c2d4e5910bbf5d215,can u help me i just need to know if my dad got on this flight from pr this is his info https://t.co/LlsiXv1y2n,...with his confirmation code and flight information. 2/2,flight_status,human,Customer needs confirmation about another passenger's flight,flight_status,ml,human,ml
71,74e9fe6b2db4ee7a3891863e1eb69cd0,"Hey @jetblue, why does FlyFi block VPN access?  That's mighty inconvenient.  Would be willing to pay for it.","It's blocked for now, but something we're looking in to for a later time.",inflight_services,auto,General question about Fly-Fi VPN access,inflight_services,ml,auto,ml
72,8285b72d9dc82e895fe220b8d8c2850e,"Hey @JetBlue, I just booked a one way flight 48 hours ago on points. The flight is now 2200 points cheaper. Does the 14 day fare price guarantee apply to points travel?","Yep, it does, Dan! You can go ahead and give us a call at 1-800-JETBLUE and our crew will be happy to take care of you.",loyalty_rewards,human,Points booking fare guarantee requires account-specific assistance,loyalty_rewards,ml,human,ml
73,f31c1630517d2f3f5b4eabc40acf7915,@JetBlue it's a beautiful day for long ground delays @122122.  What's today's lame excuse?,"@122122 We're sorry to hear about the inconvenience, Robert. What's your flight number?",flight_delay,human,Active ground delay requires flight-specific assistance,flight_delay,rule,auto,ml
74,d102b97ac548266e0b35609f65be7528,Need to get 4 adults from San Juan #PuertoRico to #Miami or #NY... It's impossible! Help people! @JetBlue,"Hi Patti, do you currently have a reservation with us?",booking,human,Customer needs help finding flights for multiple passengers,booking,ml,human,ml
75,0ec0230fc278cc88ed4f5de902831326,jet blue my last flight my TV was out ! Yuk,Oh bummer. Sorry to hear. Did you receive a voucher from an inflight crewmember?,inflight_services,human,Inflight TV failure may require compensation,inflight_services,rule,human,ml
76,5f9a7e984c5bbb5cdd261c5c2de06ac1,I paid baggage fee for my flight on 10/15 from FLL to SAN but your system was down so I was unable to check my bag at the counter,Oh no! Please DM us your confirmation code and we can take a look. Thanks!,baggage,human,Paid baggage could not be checked because of system failure,baggage,rule,human,ml
77,f25635e6d9ba64da0a9ceb9f838f58bf,Thanks @JetBlue for not expiring  my miles like @43059  uno a Ole theif,"You betcha! They're yours, so we think you should keep them for as long as you need them.",loyalty_rewards,auto,General positive feedback about mileage expiration,loyalty_rewards,ml,auto,ml
78,dc94167371e1e0b652e852e1054bf2c5,"I have the jetblue plus credit card but don't see the badge for it in my trueblue account, how do I get it?",Hi there! Have you tried adjusting the Settings and Rules tab located under the Badge tab on the left side of the page?,loyalty_rewards,auto,Question about JetBlue Plus card benefits in TrueBlue,loyalty_rewards,rule,auto,ml
79,5c75fb4ca2014669305470b29afa7655,Stuck on a @JetBlue flight. Hour delay. on plane for 45min. We haven't left the gate yet. Oh ya problem w air in cabin. Hot as hell!  Thx,"Sorry for the inconvenience, Shaun. We'll have you on your way asap.",flight_delay,human,Active delay combined with cabin air problem requires assistance,flight_delay,rule,human,ml
80,0c94a1aa29a5a0b75939d9ca487120ab,I am flying with my mother who is handicapped from lasvegas to JFK and I just arrived at 5 in the morning and the airline lost her wheelchair . This plus my son's seat being broken was not a comfortable experience. I am very disappointed.,We're sorry to hear this! Will you please DM us your confirmation code? We'd like to take a look at your reservation.  https://t.co/xSmyP7Lfyg,baggage,human,Lost wheelchair and damaged seat require investigation,baggage,ml,human,ml
81,393b6e9f7633fde9d7d6784c2adab9c3,Thanks for taking care of PR.  When will seats be released for July 2018?  Thanks.,"Good news, Beth! Our next schedule extension will be Sunday, November 12, 2017 at 2:00 PM ET for June 14 - September 04, 2018. ðŸ˜Š",booking,auto,General question about future schedule availability,booking,ml,auto,ml
82,77d0766993f40a3c5315293382d5cb44,Why isn't Howard Stern on your SiriusXM channel list?,We're not able to offer every channel due to limitations with our contract.,inflight_services,auto,General question about available entertainment channels,inflight_services,ml,auto,ml
83,5ca90f76eb31bf917375ec02bc8b9709,our flight BUF to SEA  w @116450 at 3:35p just got bumped to tomorrow.  Can you help us get to Seattle today?,@116450 Hi. We're sorry to hear about your flight. We don't have any seats available for today.,cancellation,human,Flight was moved to the next day and customer needs alternative travel,cancellation,ml,human,ml
84,cd3a011ee5a30b07dd427c0ec422364a,Well it's starting to look like the reason I can't find my webcam is because it and my nice camera was stolen from my checked bag.  So much for @JetBlue and @157133 :(,@157133 We're sorry to hear that! Have you been able to file a claim for the missing item?,baggage,human,Valuable items allegedly stolen from checked baggage,baggage,rule,human,ml
85,c413ff879f177254577a3e5e061e7d29,It had been a while since I flew JetBlue. I flew with them (JFK - SFO) yesterday. SO MUCH better than the other big airlines! Thank you @JetBlue.,Thank you!,other,auto,Positive customer feedback,other,rule,auto,ml
86,d87eee5b00b4022c9e03e4eb83aa4ef4,great flight as a 1st time passenger other than a 6 hour layover that I could not change. GoodJob flight number 1836 717 DTW TO JFK,It was a pleasure having you onboard! We can't wait for our next adventure together. ðŸ˜Š,flight_status,auto,Positive flight experience with layover comment,other,rule,auto,rule
87,7e577ca89bc0c66eeb719d3e98373d54,charged for room even though I booked through @JetBlue vacation package!!! Hilton wonâ€™t refund! So paid for room twice!,"@117372 Have you reached out to the Vacations team for more information? If not, give us a call at 1-800-JETBLUE and ask for a Vacations specialist.",refund,human,Customer was charged twice and needs refund assistance,refund,rule,human,ml
88,c2d4f853a342777001842576f43c3488,"Meet Captain Javier, the captain of our @2300 Blue plane in Nassau.  As Lisa and I arrived, heâ€¦ https://t.co/6wP6BvUEDs",@2300 ðŸ’™,other,auto,Positive customer recognition,other,ml,auto,ml
89,48762b836cdb250856f46dfcc8ab80d3,Hey @JetBlue  have a problem I was hoping you could help solve or direct me to who could help.,"How can we assist you, Jason?",other,human,Customer reports an unspecified problem requiring clarification,other,ml,human,ml
90,edfe49131f6ea7004448e12086db2cda,Dear @JetBlue - do you have special FAA permission that allows passengers to form a line at forward bathroom?,Hi Scott! Please reach out to the crew for assistance.,boarding_airport,auto,General question about airport bathroom queue policy,boarding_airport,ml,auto,ml
91,82d7d7700b334232365f84d523f363c8,ur plane is taped together https://t.co/6izuOTkYWx,We sometimes use commercial-grade tape for quick fixes that aren't a safety concern. This will most likely be properly fixed tonight.,other,auto,General question/concern about aircraft maintenance,other,ml,auto,ml
92,cde0bb104039813acdf91679052e56be,good morning question for you when I booked my familyâ€™s flights I put my wifeâ€™s wrong middle Initial is there way to change it.  Thank you,We can take a look. Please DM us your confirmation code and her name the way it should be listed.  https://t.co/xSmyP7Lfyg,booking,human,Reservation name correction requires account-specific action,other,rule,human,ml
93,ac6380178bbd16a8d8c3ab5f311b39f7,. Is there not another gate to go to?  Why would you have a plane at the gate when you knew we were coming in?,...the flight at that time. Thank you for your patience. 3/3,boarding_airport,human,Gate assignment/airport operational issue requires assistance,boarding_airport,ml,human,ml
94,78dfd3365c03d54b246f766663fa4b18,"Tried to book a flight but the website kept giving an error after certain pages. After several attempts, my travel bank is at $0 and I have an unticketed reservation, but no charges on credit card. Helllppp",Get an automatic 20% off base airfareâ€”plus extra hotel savingsâ€”when you book air + hotel together by 11/15. + Restr https://t.co/eaymYNYZl5 https://t.co/rRW3w73PJo,booking,human,Website booking failure created an unticketed reservation and affected Travel Bank,travel_credit,rule,human,ml
95,87a1e2015a532c3b7ba8112bd9b125bc,So I tried to check in my bag online a couple of days ago and it told me invalid card but now that I am home I now see i was,"If you were actually charged 3 times for a baggage fee, you can certainly dispute the charges. You'll need to call your bank for assistance.",baggage,human,Possible duplicate baggage charges require payment investigation,account_app,rule,human,ml
96,3f73758b4fa2fae93ddec6cc064deea5,So happy to have 2 feet on the ground!   Thanks for a safe landing @JetBlue.   It is windy here!  Awesome as always!,Great having you with us today!,other,auto,Positive feedback about safe landing,other,ml,auto,ml
97,52cccec56eb69a33d1e64dd76ee3d8c0,"Just trying to go to Boston this weekend for #PRSSANC, but why does @JetBlue have to make it so hard! https://t.co/4GMEno2O1f",What seems to be the problem? https://t.co/Mmv4lRqNeH,booking,human,Customer reports difficulty arranging travel and needs assistance,booking,ml,human,ml
98,9168def48ee8a753b36bde6312659da5,"Hi, @jetblue! Whatâ€™s the turnaround time for receiving a cancellation refund via paypal? Itâ€™s already showing as a pending authorizationâ€¦",Typically all refunds take 7-10 business days.,refund,auto,General question about cancellation refund processing time,refund,rule,auto,ml
99,71cc5f85d570d2dcb13fc5e266d2062e,hi I have a reservation need change date would you help me out?,...calling us at 1-800-JETBLUE. 2/2,booking,human,Existing reservation requires date change,booking,ml,human,ml
